driver,units,downside,base,upside,evidence_status
total_animals,head,50,50,50,strategy_working_range
lactating_share,percent,56,60,62,assumption
saleable_yield_per_lactating_animal_day,L,11,13,15,assumption_underwriting_12_14
saleable_fraction,percent,96,97,98,assumption
farm_gate_milk_price,NPR/L,58.5,65,70,benchmark_replace_with_buyer_formula
other_operating_income,percent_milk_revenue,0,3,5,assumption_excluded_or_downweighted
lactating_feed_cost,NPR/head/day,390,350,325,assumption_replace_with_ration_quotes
non_lactating_feed_cost,NPR/head/day,180,150,135,assumption
loaded_labour_cost,NPR/FTE/year,360000,330000,330000,assumption
labour_FTE,FTE,5,4,4,assumption
health_AI_medicines,NPR/head/year,20000,15000,14000,assumption
utilities_transport_consumables,percent_milk_revenue,8,6,5,assumption
admin_management,NPR/year,600000,450000,400000,assumption
repairs_maintenance,percent_fixed_CAPEX,2.5,2,1.8,assumption
livestock_insured_value,NPR,4050000,4050000,4050000,insurance_benchmark
gross_livestock_premium,percent_insured_value,5,5,5,assumption
premium_subsidy_share,percent,0,80,80,current_procedure_confirm_with_insurer
debt_share,percent,50,40,30,policy_assumption
gross_annual_interest,percent,10,7.06,6.06,benchmark_replace_with_term_sheet
interest_subsidy_in_viability,percent,0,0,3,excluded_base_downside
loan_tenor,years,7,7,7,assumption
buyer_payment_delay,days,60,30,15,assumption_replace_with_offer
working_capital_reserve,months_cash_OPEX,6,4,3,policy_assumption
