evidence_id,gate,topic,evidence_class,status,as_of,finding,decision_use,gap_or_next_action,source_url
E001,A,DDC Nepalgunj scheme,CONFIRMED,PARTIAL,2026-08-15,"Bardiya work area; Bhurigaun 1000 L and Sanoshree 3000 L chilling centres; 4-5k L/day lean and 12-14k flush scheme collection",Buyer lead/context,"Obtain written farm offer capacity price formula payment quality and backup",https://ddc.gov.np/projects/nmss
E002,G,Livestock premium support,CONFIRMED,PARTIAL,2082/2083,"80% up to NPR 50 lakh insured value; 65% NPR 50 lakh-1 crore; 50% above NPR 1 crore",Insurance scenario,"Insurer to confirm eligibility tier cash timing valuation and exclusions",https://moald.gov.np/content/422/procedure-for-providing-subsidy-on-premiums-of/
E003,F,Concessional agriculture/livestock loan,CONFIRMED,PARTIAL,2026-08-13,"Up to NPR 5 crore; programme pricing cap base +1.5%; 3% interest support up to five years",Finance framework,"Obtain bank sanction collateral equity moratorium fees and local branch recommendation",https://www.nrb.org.np/bfr/
E004,F,ADBL base rate,CONFIRMED,PARTIAL,Ashadh-end 2083,4.56%,Rate benchmark,"Obtain dated term sheet",https://adbl.gov.np/en/base-rate
E005,F,ADBL agriculture term premium,CONFIRMED,PARTIAL,Shrawan 1 2083,"Published up to 2.5% over base; concessional framework cap may be tighter",Rate benchmark,"Confirm applicable product and cap in sanction",https://adbl.gov.np/en/interest-rate/interest-rates-effective-from-shrawan-01-2083-17-july-2026
E006,H,Lumbini FY2083/84 budget,CONFIRMED,MONITOR,FY2083/84,"Cow/buffalo included in integrated intensive commercial value-chain development; NPR 2.33 crore programme envelope",Programme watch,"Find open farm-specific call and written eligibility/award",https://moeap.lumbini.gov.np/media/budgets/budget.pdf
E007,B,Badhaiyatal climate/profile,CONFIRMED,PARTIAL,municipal profile,"Elevation 143-157 m; historical maximum 42.2 C",Heat/site design,"Use current climate series and site-specific heat-load design",https://badhaiyatalmun.gov.np/
E008,B,Bardiya groundwater context,BENCHMARK,PARTIAL,plan publication,"46900 ha potential; 17635 ha developed in cited national plan",District irrigation context,"Conduct site bore yield and water-quality tests",https://www.dwri.gov.np/files/notice/20210805070907.pdf
E009,A,Bardiya dairy value-chain leads,BENCHMARK_DATED,PARTIAL,2019,"Historical Bhagawati MPC Badhaiya DDC Kohalpur Anupam Dairy and route leads",Buyer lead list,"Revalidate existence capacity price quality and payment",https://libird.org/wp-content/uploads/2022/04/Diary-Value-Chain-Report.pdf
E010,D,Cattle genetics/breeding network,CONFIRMED,PARTIAL,2026-08,"NLBO Holstein/Jersey pedigree and PPRS sources",Genetics/source-network lead,"Obtain live animal suppliers individual records tests and prices",https://nlbo.gov.np/bull-group/1/2021/71411744/
E011,D,Bardiya veterinary/lab services,CONFIRMED,PARTIAL,2083,"Cattle/buffalo treatment and laboratory services listed",Pre-purchase service lead,"Confirm tests capacity turnaround and responsible veterinarian",https://ialdobardiya.lumbini.gov.np/officeDetail/citizen-charter?language=en
E012,E,Commercial cow/buffalo welfare standard 2080,CONFIRMED,PARTIAL,current listing,"Standard listed by Lumbini DOLFD",Engineering requirement,"Engineer to extract dimensions and certify compliance",https://dolfd.lumbini.gov.np/
E013,A,Raw milk price,BENCHMARK,PARTIAL,repository benchmark,NPR 65/L,Scenario input,"Replace with buyer fat-SNF formula deductions and payment terms",https://nddb.gov.np/pages/minimum-price-of-raw-milk/
E014,F,Integrated financial model,ASSUMPTION_CALCULATION,BLOCKER,2026-08-15,"Mechanics PASS; Base DSCR 0.58x; Downside -1.49x; Upside 3.89x",Commercial decision,"Replace assumption inputs with evidence and reach quote-backed Downside DSCR >=1.20x",data/financial-model/phase2-integrated-financial-model.xlsx
