item,npr_lakh,status
24 mature cows,60.0,planning allowance
6 in-calf heifers,10.8,planning allowance
main shed feed alley drainage,30.0,planning allowance
youngstock calving quarantine,8.0,planning allowance
milking and milk room,5.0,planning allowance
500 L chiller,6.0,planning allowance
water and cooling,5.0,planning allowance
silage bunkers,5.0,planning allowance
chopper and feed handling,4.0,planning allowance
manure biogas pre-compost,4.0,planning allowance
electrical and plumbing,4.0,planning allowance
store vet office,3.0,planning allowance
biosecurity fencing,2.0,planning allowance
contingency,7.6,planning allowance
CAPEX subtotal,154.4,model
working capital reserve,20.0,model
initial funding envelope,174.4,model
